MEDIA_NAME,USER_ID,SPECIFIC_CATEGORY,MACRO_CATEGORY,CORRECT_ANSWER,USER_ANSWER,T_I_J,AVERAGE_T_J,D_I_J,AVERAGE_D_I,LABEL
NewMedia21,USER_1,Spatial Reasoning,Graphical,b,b,44.0686,47.02179413043478,-0.0670135681740462,-0.1345066355921906,0
NewMedia19,USER_1,Spatial Reasoning,Graphical,b,d,60.01807,60.0733354347826,-0.0009208132614493,-0.1345066355921906,1
NewMedia4,USER_1,Deductive Reasoning,Textual,a,a,71.80042,63.60174478260869,0.1141870091761484,-0.1345066355921906,1
NewMedia20,USER_1,Spatial Reasoning,Graphical,c,c,40.02332,49.77474869565217,-0.2436436731298696,-0.1345066355921906,0
NewMedia3,USER_1,Critical Thinking,Textual,a,a,45.30103,44.91522913043478,0.0085163818475036,-0.1345066355921906,1
NewMedia12,USER_2,Inductive Reasoning,Graphical,d,d,11.05951,28.096099782608693,-1.5404470706757076,-0.8186098519773971,0
NewMedia20,USER_2,Spatial Reasoning,Graphical,c,d,24.75739,49.77474869565217,-1.0105006503372194,-0.8186098519773971,1
NewMedia15,USER_2,Logical Reasoning,Graphical,c,c,16.41144,41.98388782608696,-1.5582086536030333,-0.8186098519773971,0
NewMedia1,USER_2,Critical Thinking,Textual,b,a,46.71515,53.460440000000006,-0.1443919156847404,-0.8186098519773971,1
NewMedia4,USER_2,Deductive Reasoning,Textual,a,a,60.23199,63.60174478260869,-0.0559462634823901,-0.8186098519773971,0
NewMedia17,USER_2,Mechanical Reasoning,Graphical,b,b,18.20599,26.932871304347827,-0.4793412115654148,-0.8186098519773971,0
NewMedia24,USER_2,Verbal Reasoning,Textual,b,b,94.72266,81.41989043478262,0.140439146928701,-0.8186098519773971,1
NewMedia14,USER_2,Logical Reasoning,Graphical,a,d,54.47827,62.11906499999999,-0.1402539948496894,-0.8186098519773971,1
NewMedia21,USER_2,Spatial Reasoning,Graphical,b,d,33.51904,47.02179413043478,-0.4028383310033575,-0.8186098519773971,1
NewMedia11,USER_2,Inductive Reasoning,Graphical,b,b,42.09277,59.445183913043486,-0.4122421478330716,-0.8186098519773971,0
NewMedia5,USER_2,Deductive Reasoning,Textual,b,c,21.20044,66.91064043478262,-2.156096780764108,-0.8186098519773971,0
NewMedia3,USER_2,Critical Thinking,Textual,a,b,32.52747,44.91522913043478,-0.380839921777955,-0.8186098519773971,1
NewMedia6,USER_2,Deductive Reasoning,Textual,a,a,51.59839,90.38850673913043,-0.7517699048193254,-0.8186098519773971,0
NewMedia7,USER_2,Diagrammatic Reasoning,Graphical,b,b,51.47668,63.053258913043486,-0.2248897736420352,-0.8186098519773971,0
NewMedia2,USER_2,Critical Thinking,Textual,a,a,21.68298,43.53073565217391,-1.007599308405667,-0.8186098519773971,0
NewMedia9,USER_2,Diagrammatic Reasoning,Graphical,b,b,31.1344,80.25072065217392,-1.5775579632873582,-0.8186098519773971,0
NewMedia10,USER_2,Inductive Reasoning,Graphical,d,a,17.28857,54.161886739130445,-2.1328147289874435,-0.8186098519773971,0
NewMedia22,USER_2,Verbal Reasoning,Textual,d,d,40.34473,90.9118658695652,-1.253376484848584,-0.8186098519773971,0
NewMedia13,USER_2,Logical Reasoning,Graphical,d,d,17.56995,53.294944565217385,-2.03330086683328,-0.8186098519773971,0
NewMedia18,USER_2,Mechanical Reasoning,Graphical,a,a,38.06763,56.30706782608695,-0.4791324762294618,-0.8186098519773971,0
NewMedia16,USER_2,Mechanical Reasoning,Graphical,b,b,10.0874,19.867627391304342,-0.9695488819026054,-0.8186098519773971,0
NewMedia23,USER_2,Verbal Reasoning,Textual,d,c,86.79199,109.81043217391304,-0.2652139001987746,-0.8186098519773971,1
NewMedia8,USER_2,Diagrammatic Reasoning,Graphical,c,c,58.64465,80.11716369565217,-0.3661461650065635,-0.8186098519773971,0
NewMedia19,USER_2,Spatial Reasoning,Graphical,b,b,41.58423,60.0733354347826,-0.4446181986484444,-0.8186098519773971,0
NewMedia10,USER_3,Inductive Reasoning,Graphical,d,a,15.17871,54.161886739130445,-2.568279961810354,-0.4180117420705556,0
NewMedia16,USER_3,Mechanical Reasoning,Graphical,b,b,14.77008,19.867627391304342,-0.3451265931737907,-0.4180117420705556,0
NewMedia23,USER_3,Verbal Reasoning,Textual,d,d,99.20416,109.81043217391304,-0.1069135827964577,-0.4180117420705556,0
NewMedia6,USER_3,Deductive Reasoning,Textual,a,a,51.61786,90.38850673913043,-0.7511091459260503,-0.4180117420705556,0
NewMedia3,USER_3,Critical Thinking,Textual,a,b,54.10339,44.91522913043478,0.1698259733736687,-0.4180117420705556,1
NewMedia7,USER_3,Diagrammatic Reasoning,Graphical,b,b,57.49286,63.053258913043486,-0.0967145992222944,-0.4180117420705556,0
NewMedia1,USER_3,Critical Thinking,Textual,b,a,56.30042,53.460440000000006,0.0504433181848376,-0.4180117420705556,1
NewMedia12,USER_3,Inductive Reasoning,Graphical,d,d,20.37018,28.096099782608693,-0.379275970198039,-0.4180117420705556,0
NewMedia9,USER_3,Diagrammatic Reasoning,Graphical,b,b,37.09595,80.25072065217392,-1.1633283593538897,-0.4180117420705556,0
NewMedia24,USER_3,Verbal Reasoning,Textual,b,b,89.87988,81.41989043478262,0.0941255102389698,-0.4180117420705556,1
NewMedia22,USER_3,Verbal Reasoning,Textual,d,d,103.06897,90.9118658695652,0.1179511557206285,-0.4180117420705556,1
NewMedia21,USER_3,Spatial Reasoning,Graphical,b,b,22.09131,47.02179413043478,-1.1285199533406929,-0.4180117420705556,0
NewMedia15,USER_3,Logical Reasoning,Graphical,c,d,36.76746,41.98388782608696,-0.1418762086390238,-0.4180117420705556,1
NewMedia2,USER_3,Critical Thinking,Textual,a,a,46.00525,43.53073565217391,0.0537876513620964,-0.4180117420705556,1
NewMedia17,USER_3,Mechanical Reasoning,Graphical,b,a,30.72583,26.932871304347827,0.123445280262638,-0.4180117420705556,1
NewMedia14,USER_3,Logical Reasoning,Graphical,a,a,39.83545,62.11906499999999,-0.5593915720796424,-0.4180117420705556,0
NewMedia20,USER_3,Spatial Reasoning,Graphical,c,c,43.80127,49.77474869565217,-0.1363768378326055,-0.4180117420705556,0
NewMedia8,USER_3,Diagrammatic Reasoning,Graphical,c,b,34.41675,80.11716369565217,-1.3278538413897931,-0.4180117420705556,1
NewMedia5,USER_3,Deductive Reasoning,Textual,b,a,75.23682,66.91064043478262,0.1106662876662965,-0.4180117420705556,1
NewMedia19,USER_3,Spatial Reasoning,Graphical,b,b,48.09473,60.0733354347826,-0.2490627441880347,-0.4180117420705556,0
NewMedia18,USER_3,Mechanical Reasoning,Graphical,a,a,73.54883,56.30706782608695,0.2344260564568198,-0.4180117420705556,1
NewMedia13,USER_3,Logical Reasoning,Graphical,d,d,31.2749,53.294944565217385,-0.7040804148124339,-0.4180117420705556,0
NewMedia4,USER_3,Deductive Reasoning,Textual,a,a,98.28601,63.60174478260869,0.3528911715654274,-0.4180117420705556,1
NewMedia11,USER_3,Inductive Reasoning,Graphical,b,b,22.16504,59.445183913043486,-1.6819344297616194,-0.4180117420705556,0
NewMedia19,USER_4,Spatial Reasoning,Graphical,b,b,40.27075,60.0733354347826,-0.4917361964895761,-0.3976611965565113,0
NewMedia10,USER_4,Inductive Reasoning,Graphical,d,c,48.26245,54.161886739130445,-0.1222365781084558,-0.3976611965565113,1
NewMedia15,USER_4,Logical Reasoning,Graphical,c,a,54.28418,41.98388782608696,0.2265907336891344,-0.3976611965565113,1
NewMedia21,USER_4,Spatial Reasoning,Graphical,b,b,17.97168,47.02179413043478,-1.616438425925388,-0.3976611965565113,0
NewMedia9,USER_4,Diagrammatic Reasoning,Graphical,b,b,158.43701,80.25072065217392,0.4934850092653608,-0.3976611965565113,1
NewMedia16,USER_4,Mechanical Reasoning,Graphical,b,b,25.25342,19.867627391304342,0.2132698307277056,-0.3976611965565113,1
NewMedia20,USER_4,Spatial Reasoning,Graphical,c,a,36.19824,49.77474869565217,-0.3750599116325041,-0.3976611965565113,1
NewMedia4,USER_4,Deductive Reasoning,Textual,a,a,43.0376,63.60174478260869,-0.4778181121300605,-0.3976611965565113,0
NewMedia24,USER_4,Verbal Reasoning,Textual,b,b,68.25586,81.41989043478262,-0.1928630074367624,-0.3976611965565113,0
NewMedia1,USER_4,Critical Thinking,Textual,b,a,31.38916,53.460440000000006,-0.7031497497862321,-0.3976611965565113,1
NewMedia18,USER_4,Mechanical Reasoning,Graphical,a,b,16.26367,56.30706782608695,-2.462137870854914,-0.3976611965565113,1
NewMedia3,USER_4,Critical Thinking,Textual,a,a,32.2124,44.91522913043478,-0.3943459391549458,-0.3976611965565113,0
NewMedia13,USER_4,Logical Reasoning,Graphical,d,d,29.74072,53.294944565217385,-0.7919856871392954,-0.3976611965565113,0
NewMedia14,USER_4,Logical Reasoning,Graphical,a,a,75.14941,62.11906499999999,0.1733925123297709,-0.3976611965565113,1
NewMedia22,USER_4,Verbal Reasoning,Textual,d,d,107.10742,90.9118658695652,0.1512085169303378,-0.3976611965565113,1
NewMedia12,USER_4,Inductive Reasoning,Graphical,d,d,13.89893,28.096099782608693,-1.021457751251981,-0.3976611965565113,0
NewMedia11,USER_4,Inductive Reasoning,Graphical,b,b,85.61914,59.445183913043486,0.3057021606028338,-0.3976611965565113,1
NewMedia17,USER_4,Mechanical Reasoning,Graphical,b,b,20.0083,26.932871304347827,-0.346084939967305,-0.3976611965565113,0
NewMedia6,USER_4,Deductive Reasoning,Textual,a,b,117.71143,90.38850673913043,0.232117843278852,-0.3976611965565113,1
NewMedia8,USER_4,Diagrammatic Reasoning,Graphical,c,a,172.31689,80.11716369565217,0.5350591361319708,-0.3976611965565113,1
NewMedia5,USER_4,Deductive Reasoning,Textual,b,c,33.29736,66.91064043478262,-1.0094878523337174,-0.3976611965565113,1
NewMedia23,USER_4,Verbal Reasoning,Textual,d,d,56.14648,109.81043217391304,-0.9557848002922544,-0.3976611965565113,0
NewMedia2,USER_4,Critical Thinking,Textual,a,b,20.65723,43.53073565217391,-1.1072881336061955,-0.3976611965565113,1
NewMedia7,USER_4,Diagrammatic Reasoning,Graphical,b,b,78.15039,63.053258913043486,0.1931804957973532,-0.3976611965565113,1
NewMedia10,USER_6,Inductive Reasoning,Graphical,d,a,12.31836,54.161886739130445,-3.396842334460955,-0.6799253142540054,0
NewMedia12,USER_6,Inductive Reasoning,Graphical,d,d,15.17188,28.096099782608693,-0.8518535463376123,-0.6799253142540054,0
NewMedia16,USER_6,Mechanical Reasoning,Graphical,b,b,15.11768,19.867627391304342,-0.3141981700435743,-0.6799253142540054,0
NewMedia18,USER_6,Mechanical Reasoning,Graphical,a,b,19.03003,56.30706782608695,-1.9588533400150685,-0.6799253142540054,1
NewMedia14,USER_6,Logical Reasoning,Graphical,a,a,32.96289,62.11906499999999,-0.8845151320166402,-0.6799253142540054,0
NewMedia7,USER_6,Diagrammatic Reasoning,Graphical,b,d,75.95313,63.053258913043486,0.16983988792768,-0.6799253142540054,1
NewMedia11,USER_6,Inductive Reasoning,Graphical,b,b,20.75146,59.445183913043486,-1.864626581119761,-0.6799253142540054,0
NewMedia13,USER_6,Logical Reasoning,Graphical,d,d,31.38159,53.294944565217385,-0.6982869435620498,-0.6799253142540054,0
NewMedia24,USER_6,Verbal Reasoning,Textual,b,b,78.61255,81.41989043478262,-0.0357110974619525,-0.6799253142540054,0
NewMedia19,USER_6,Spatial Reasoning,Graphical,b,a,55.34912,60.0733354347826,-0.0853530360515686,-0.6799253142540054,1
NewMedia17,USER_6,Mechanical Reasoning,Graphical,b,a,10.04126,26.932871304347827,-1.6822202895202223,-0.6799253142540054,1
NewMedia21,USER_6,Spatial Reasoning,Graphical,b,b,43.74097,47.02179413043478,-0.0750057470246951,-0.6799253142540054,0
NewMedia1,USER_6,Critical Thinking,Textual,b,a,66.26758,53.460440000000006,0.19326403650171,-0.6799253142540054,1
NewMedia4,USER_6,Deductive Reasoning,Textual,a,b,69.03418,63.60174478260869,0.0786919641457509,-0.6799253142540054,1
NewMedia8,USER_6,Diagrammatic Reasoning,Graphical,c,b,35.71558,80.11716369565217,-1.2431992899359932,-0.6799253142540054,1
NewMedia5,USER_6,Deductive Reasoning,Textual,b,b,50.08423,66.91064043478262,-0.3359622466948703,-0.6799253142540054,0
NewMedia6,USER_6,Deductive Reasoning,Textual,a,b,71.83472,90.38850673913043,-0.2582843886512042,-0.6799253142540054,1
NewMedia20,USER_6,Spatial Reasoning,Graphical,c,a,51.73877,49.77474869565217,0.0379603400766549,-0.6799253142540054,1
NewMedia9,USER_6,Diagrammatic Reasoning,Graphical,b,b,31.00732,80.25072065217392,-1.5881217935691936,-0.6799253142540054,0
NewMedia22,USER_6,Verbal Reasoning,Textual,d,a,75.46387,90.9118658695652,-0.2047071780120103,-0.6799253142540054,1
NewMedia15,USER_6,Logical Reasoning,Graphical,c,c,29.48022,41.98388782608696,-0.4241375344582559,-0.6799253142540054,0
NewMedia2,USER_6,Critical Thinking,Textual,a,b,36.51929,43.53073565217391,-0.1919929344785704,-0.6799253142540054,1
NewMedia3,USER_6,Critical Thinking,Textual,a,a,30.21704,44.91522913043478,-0.4864205471626202,-0.6799253142540054,0
NewMedia23,USER_6,Verbal Reasoning,Textual,d,d,90.18066,109.81043217391304,-0.217671640171108,-0.6799253142540054,0
NewMedia9,USER_7,Diagrammatic Reasoning,Graphical,b,b,65.10889,80.25072065217392,-0.2325616463769221,-0.6611855792221414,0
NewMedia14,USER_7,Logical Reasoning,Graphical,a,d,37.3374,62.11906499999999,-0.6637222998923329,-0.6611855792221414,1
NewMedia6,USER_7,Deductive Reasoning,Textual,a,a,85.13788,90.38850673913043,-0.0616720399795066,-0.6611855792221414,0
NewMedia18,USER_7,Mechanical Reasoning,Graphical,a,a,30.83246,56.30706782608695,-0.826226899380943,-0.6611855792221414,0
NewMedia13,USER_7,Logical Reasoning,Graphical,d,d,33.92755,53.294944565217385,-0.5708456568546031,-0.6611855792221414,0
NewMedia15,USER_7,Logical Reasoning,Graphical,c,c,24.77063,41.98388782608696,-0.6949059360253237,-0.6611855792221414,0
NewMedia10,USER_7,Inductive Reasoning,Graphical,d,a,18.89624,54.161886739130445,-1.8662785156798627,-0.6611855792221414,0
NewMedia22,USER_7,Verbal Reasoning,Textual,d,d,66.92419,90.9118658695652,-0.3584305744987756,-0.6611855792221414,0
NewMedia21,USER_7,Spatial Reasoning,Graphical,b,b,28.12683,47.02179413043478,-0.6717772365543779,-0.6611855792221414,0
NewMedia23,USER_7,Verbal Reasoning,Textual,d,c,135.1283,109.81043217391304,0.187361698667762,-0.6611855792221414,1
NewMedia7,USER_7,Diagrammatic Reasoning,Graphical,b,b,28.52173,63.053258913043486,-1.2107094805624865,-0.6611855792221414,0
NewMedia1,USER_7,Critical Thinking,Textual,b,a,38.83765,53.460440000000006,-0.3765106797141436,-0.6611855792221414,1
NewMedia11,USER_7,Inductive Reasoning,Graphical,b,b,22.39954,59.445183913043486,-1.6538573521172084,-0.6611855792221414,0
NewMedia24,USER_7,Verbal Reasoning,Textual,b,b,66.81677,81.41989043478262,-0.2185547196427275,-0.6611855792221414,0
NewMedia5,USER_7,Deductive Reasoning,Textual,b,b,50.19092,66.91064043478262,-0.3331224140697684,-0.6611855792221414,0
NewMedia3,USER_7,Critical Thinking,Textual,a,b,39.29309,44.91522913043478,-0.1430821330273282,-0.6611855792221414,1
NewMedia16,USER_7,Mechanical Reasoning,Graphical,b,b,16.12976,19.867627391304342,-0.2317373222728882,-0.6611855792221414,0
NewMedia8,USER_7,Diagrammatic Reasoning,Graphical,c,c,24.35547,80.11716369565217,-2.289493641290937,-0.6611855792221414,0
NewMedia19,USER_7,Spatial Reasoning,Graphical,b,b,54.58618,60.0733354347826,-0.1005227959674518,-0.6611855792221414,0
NewMedia20,USER_7,Spatial Reasoning,Graphical,c,b,26.10339,49.77474869565217,-0.9068308252549638,-0.6611855792221414,1
NewMedia17,USER_7,Mechanical Reasoning,Graphical,b,b,14.20801,26.932871304347827,-0.8956117925274425,-0.6611855792221414,0
NewMedia2,USER_7,Critical Thinking,Textual,a,b,25.54724,43.53073565217391,-0.7039310568254696,-0.6611855792221414,1
NewMedia12,USER_7,Inductive Reasoning,Graphical,d,d,22.90186,28.096099782608693,-0.2268042762731365,-0.6611855792221414,0
NewMedia4,USER_7,Deductive Reasoning,Textual,a,a,34.97241,63.60174478260869,-0.8186263052105556,-0.6611855792221414,0
NewMedia4,USER_8,Deductive Reasoning,Textual,a,a,61.02271,63.60174478260869,-0.0422635242290729,-0.0607134768612455,0
NewMedia14,USER_8,Logical Reasoning,Graphical,a,a,65.87842,62.11906499999999,0.0570650449722384,-0.0607134768612455,1
NewMedia9,USER_8,Diagrammatic Reasoning,Graphical,b,b,123.86035,80.25072065217392,0.3520870831369851,-0.0607134768612455,1
NewMedia17,USER_8,Mechanical Reasoning,Graphical,b,a,41.04565,26.932871304347827,0.3438312877406539,-0.0607134768612455,1
NewMedia22,USER_8,Verbal Reasoning,Textual,d,d,105.56079,90.9118658695652,0.1387723995854407,-0.0607134768612455,1
NewMedia2,USER_8,Critical Thinking,Textual,a,a,44.25659,43.53073565217391,0.0164010455352771,-0.0607134768612455,1
NewMedia20,USER_8,Spatial Reasoning,Graphical,c,c,149.62305,49.77474869565217,0.6673323482200626,-0.0607134768612455,1
NewMedia7,USER_8,Diagrammatic Reasoning,Graphical,b,b,50.62671,63.053258913043486,-0.2454544036743348,-0.0607134768612455,0
NewMedia10,USER_8,Inductive Reasoning,Graphical,d,a,50.65332,54.161886739130445,-0.0692662739407889,-0.0607134768612455,1
NewMedia11,USER_8,Inductive Reasoning,Graphical,b,b,22.0647,59.445183913043486,-1.6941306209938722,-0.0607134768612455,0
NewMedia21,USER_8,Spatial Reasoning,Graphical,b,b,59.88403,47.02179413043478,0.2147857428694298,-0.0607134768612455,1
NewMedia15,USER_8,Logical Reasoning,Graphical,c,c,50.43945,41.98388782608696,0.1676378742019002,-0.0607134768612455,1
NewMedia16,USER_8,Mechanical Reasoning,Graphical,b,b,18.02539,19.867627391304342,-0.1022023596329588,-0.0607134768612455,0
NewMedia5,USER_8,Deductive Reasoning,Textual,b,a,37.2832,66.91064043478262,-0.7946592683777847,-0.0607134768612455,1
NewMedia13,USER_8,Logical Reasoning,Graphical,d,d,41.00146,53.294944565217385,-0.2998304100687483,-0.0607134768612455,0
NewMedia12,USER_8,Inductive Reasoning,Graphical,d,d,19.68628,28.096099782608693,-0.4271919216128539,-0.0607134768612455,0
NewMedia19,USER_8,Spatial Reasoning,Graphical,b,b,81.72729,60.0733354347826,0.2649537818422389,-0.0607134768612455,1
NewMedia8,USER_8,Diagrammatic Reasoning,Graphical,c,c,104.77661,80.11716369565217,0.2353525877993937,-0.0607134768612455,1
NewMedia18,USER_8,Mechanical Reasoning,Graphical,a,c,56.74878,56.30706782608695,0.0077836417613391,-0.0607134768612455,1
NewMedia3,USER_8,Critical Thinking,Textual,a,b,58.03564,44.91522913043478,0.226075061282433,-0.0607134768612455,1
NewMedia23,USER_8,Verbal Reasoning,Textual,d,d,152.8374,109.81043217391304,0.2815211972075353,-0.0607134768612455,1
NewMedia1,USER_8,Critical Thinking,Textual,b,a,36.65381,53.460440000000006,-0.4585234113452327,-0.0607134768612455,1
NewMedia6,USER_8,Deductive Reasoning,Textual,a,a,77.06543,90.38850673913043,-0.1728800674846092,-0.0607134768612455,0
NewMedia24,USER_8,Verbal Reasoning,Textual,b,b,72.41699,81.41989043478262,-0.1243202794645651,-0.0607134768612455,0
NewMedia11,USER_9,Inductive Reasoning,Graphical,b,c,19.10432,59.445183913043486,-2.111609516226878,-0.6643097772895161,1
NewMedia16,USER_9,Mechanical Reasoning,Graphical,b,b,19.80719,19.867627391304342,-0.0030512854829152,-0.6643097772895161,0
NewMedia18,USER_9,Mechanical Reasoning,Graphical,a,c,12.61311,56.30706782608695,-3.4641700441910794,-0.6643097772895161,1
NewMedia6,USER_9,Deductive Reasoning,Textual,a,a,57.21173,90.38850673913043,-0.5798946603979713,-0.6643097772895161,0
NewMedia3,USER_9,Critical Thinking,Textual,a,b,24.75708,44.91522913043478,-0.814237750592347,-0.6643097772895161,1
NewMedia19,USER_9,Spatial Reasoning,Graphical,b,d,30.53806,60.0733354347826,-0.9671627940603494,-0.6643097772895161,1
NewMedia5,USER_9,Deductive Reasoning,Textual,b,c,29.22531,66.91064043478262,-1.289475815133616,-0.6643097772895161,0
NewMedia12,USER_9,Inductive Reasoning,Graphical,d,c,15.48672,28.096099782608693,-0.8142059637294852,-0.6643097772895161,1
NewMedia20,USER_9,Spatial Reasoning,Graphical,c,d,118.12003,49.77474869565217,0.578608736421315,-0.6643097772895161,1
NewMedia7,USER_9,Diagrammatic Reasoning,Graphical,b,b,32.099,63.053258913043486,-0.9643371729039376,-0.6643097772895161,0
NewMedia14,USER_9,Logical Reasoning,Graphical,a,b,35.44806,62.11906499999999,-0.7523967461124811,-0.6643097772895161,1
NewMedia9,USER_9,Diagrammatic Reasoning,Graphical,b,c,44.13586,80.25072065217392,-0.8182657062119991,-0.6643097772895161,1
NewMedia22,USER_9,Verbal Reasoning,Textual,d,d,88.1983,90.9118658695652,-0.0307666459508312,-0.6643097772895161,0
NewMedia21,USER_9,Spatial Reasoning,Graphical,b,b,48.604,47.02179413043478,0.0325529970694844,-0.6643097772895161,1
NewMedia10,USER_9,Inductive Reasoning,Graphical,d,a,22.20532,54.161886739130445,-1.4391401132309936,-0.6643097772895161,0
NewMedia4,USER_9,Deductive Reasoning,Textual,a,a,70.01825,63.60174478260869,0.0916404682692198,-0.6643097772895161,1
NewMedia13,USER_9,Logical Reasoning,Graphical,d,d,42.09277,53.294944565217385,-0.2661306102025926,-0.6643097772895161,0
NewMedia23,USER_9,Verbal Reasoning,Textual,d,d,162.23645,109.81043217391304,0.3231457408374441,-0.6643097772895161,1
NewMedia1,USER_9,Critical Thinking,Textual,b,b,64.32458,53.460440000000006,0.1688956227930286,-0.6643097772895161,1
NewMedia24,USER_9,Verbal Reasoning,Textual,b,a,72.68457,81.41989043478262,-0.120181221884956,-0.6643097772895161,1
NewMedia15,USER_9,Logical Reasoning,Graphical,c,d,30.80627,41.98388782608696,-0.3628358066746465,-0.6643097772895161,1
NewMedia2,USER_9,Critical Thinking,Textual,a,b,29.41797,43.53073565217391,-0.4797328181439409,-0.6643097772895161,1
NewMedia8,USER_9,Diagrammatic Reasoning,Graphical,c,a,29.16199,80.11716369565217,-1.7473146961387809,-0.6643097772895161,1
NewMedia17,USER_9,Mechanical Reasoning,Graphical,b,b,24.19043,26.932871304347827,-0.1133688530690784,-0.6643097772895161,0
NewMedia17,USER_10,Mechanical Reasoning,Graphical,b,a,50.7074,26.932871304347827,0.4688571824951027,0.0356379529634395,1
NewMedia23,USER_10,Verbal Reasoning,Textual,d,c,157.71411,109.81043217391304,0.303737426068517,0.0356379529634395,1
NewMedia7,USER_10,Diagrammatic Reasoning,Graphical,b,d,79.1217,63.053258913043486,0.2030851345074299,0.0356379529634395,1
NewMedia4,USER_10,Deductive Reasoning,Textual,a,a,62.79126,63.60174478260869,-0.0129076050171423,0.0356379529634395,0
NewMedia10,USER_10,Inductive Reasoning,Graphical,d,a,42.05249,54.161886739130445,-0.2879590896788857,0.0356379529634395,1
NewMedia14,USER_10,Logical Reasoning,Graphical,a,a,68.87305,62.11906499999999,0.0980642646143885,0.0356379529634395,1
NewMedia3,USER_10,Critical Thinking,Textual,a,a,86.03467,44.91522913043478,0.4779403567139296,0.0356379529634395,1
NewMedia1,USER_10,Critical Thinking,Textual,b,b,55.64307,53.460440000000006,0.0392255495607987,0.0356379529634395,1
NewMedia19,USER_10,Spatial Reasoning,Graphical,b,c,89.6853,60.0733354347826,0.3301763451225273,0.0356379529634395,1
NewMedia24,USER_10,Verbal Reasoning,Textual,b,b,57.02563,81.41989043478262,-0.4277771316999499,0.0356379529634395,0
NewMedia11,USER_10,Inductive Reasoning,Graphical,b,c,69.73096,59.445183913043486,0.1475065894253644,0.0356379529634395,1
NewMedia9,USER_10,Diagrammatic Reasoning,Graphical,b,b,161.61304,80.25072065217392,0.5034390748904054,0.0356379529634395,1
NewMedia5,USER_10,Deductive Reasoning,Textual,b,a,86.23535,66.91064043478262,0.2240926669308743,0.0356379529634395,1
NewMedia20,USER_10,Spatial Reasoning,Graphical,c,d,35.52832,49.77474869565217,-0.4009879638455229,0.0356379529634395,1
NewMedia6,USER_10,Deductive Reasoning,Textual,a,b,79.21509,90.38850673913043,-0.1410516195731196,0.0356379529634395,1
NewMedia2,USER_10,Critical Thinking,Textual,a,a,41.00757,43.53073565217391,-0.061529265259412,0.0356379529634395,0
NewMedia18,USER_10,Mechanical Reasoning,Graphical,a,c,68.06152,56.30706782608695,0.1727033450606605,0.0356379529634395,1
NewMedia15,USER_10,Logical Reasoning,Graphical,c,b,43.92114,41.98388782608696,0.0441075111873926,0.0356379529634395,1
NewMedia12,USER_10,Inductive Reasoning,Graphical,d,d,23.47852,28.096099782608693,-0.1966725237625154,0.0356379529634395,0
